2025-03-09 20:19:19,663 INFO    MainThread:16423 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_setup.py:_flush():67] Configure stats pid to 16423
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_setup.py:_flush():67] Loading settings from /Users/xigehao/.config/wandb/settings
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_setup.py:_flush():67] Loading settings from /Users/xigehao/agent_trainer/wandb/settings
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/xigehao/agent_trainer/wandb/run-20250309_201919-7w9lhtwt/logs/debug.log
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/xigehao/agent_trainer/wandb/run-20250309_201919-7w9lhtwt/logs/debug-internal.log
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:init():761] calling init triggers
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'evaluation_type': 'strategy_comparison', 'timestamp': '20250309_201919', '_wandb': {}}
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:init():784] starting backend
2025-03-09 20:19:19,664 INFO    MainThread:16423 [wandb_init.py:init():788] sending inform_init request
2025-03-09 20:19:19,710 INFO    MainThread:16423 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-09 20:19:19,710 INFO    MainThread:16423 [wandb_init.py:init():798] backend started and connected
2025-03-09 20:19:19,712 INFO    MainThread:16423 [wandb_init.py:init():891] updated telemetry
2025-03-09 20:19:19,712 INFO    MainThread:16423 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-09 20:19:20,487 INFO    MainThread:16423 [wandb_init.py:init():990] starting run threads in backend
2025-03-09 20:19:20,584 INFO    MainThread:16423 [wandb_run.py:_console_start():2375] atexit reg
2025-03-09 20:19:20,584 INFO    MainThread:16423 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-09 20:19:20,585 INFO    MainThread:16423 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-09 20:19:20,585 INFO    MainThread:16423 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-09 20:19:20,586 INFO    MainThread:16423 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-09 20:19:26,382 INFO    MainThread:16423 [wandb_run.py:_finish():2112] finishing run haoxige-agent-training/business-advisor-enhanced/7w9lhtwt
2025-03-09 20:19:26,383 INFO    MainThread:16423 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-09 20:19:26,383 INFO    MainThread:16423 [wandb_run.py:_restore():2322] restore
2025-03-09 20:19:26,383 INFO    MainThread:16423 [wandb_run.py:_restore():2328] restore done
2025-03-09 20:19:27,596 INFO    MainThread:16423 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-09 20:19:27,599 INFO    MainThread:16423 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-09 20:19:27,604 INFO    MainThread:16423 [wandb_run.py:_footer_sync_info():3917] logging synced files
